hEven,pTran
122957,2039.0
122957,2039.0
122957,2040.0
122955,2040.0
122954,2040.0
122954,2040.0
122954,2040.0
122954,2040.0
122953,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122951,2040.0
122950,2041.0
122949,2042.0
122948,2042.0
122947,2042.0
122946,2040.0
122946,2040.0
122946,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2040.0
122943,2042.0
122943,2042.0
122943,2042.0
122943,2042.0
122941,2041.0
122941,2041.0
122941,2042.0
122940,2041.0
122937,2041.0
122937,2041.0
122937,2041.0
122937,2041.0
122937,2041.0
122937,2041.0
122935,2041.0
122933,2042.0
122933,2042.0
122929,2042.0
122929,2042.0
122929,2042.0
122929,2043.0
122928,2041.0
122928,2041.0
122927,2042.0
122927,2042.0
122927,2041.0
122927,2041.0
122925,2042.0
122924,2042.0
122923,2042.0
122920,2041.0
122920,2041.0
122918,2042.0
122918,2041.0
122918,2041.0
122918,2041.0
122918,2041.0
122918,2041.0
122918,2041.0
122918,2041.0
122914,2042.0
122914,2044.0
122913,2042.0
122913,2042.0
122913,2042.0
122910,2042.0
122910,2042.0
122906,2042.0
122906,2042.0
122905,2044.0
122905,2044.0
122902,2041.0
122902,2041.0
122902,2041.0
122902,2041.0
122902,2041.0
122902,2041.0
122902,2042.0
122902,2041.0
122901,2043.0
122901,2042.0
122901,2041.0
122901,2041.0
122900,2043.0
122900,2043.0
122857,2043.0
122857,2043.0
122857,2043.0
122857,2043.0
122857,2043.0
122857,2043.0
122857,2042.0
122857,2042.0
122857,2042.0
122857,2042.0
122857,2042.0
122857,2043.0
122856,2042.0
122855,2041.0
122855,2041.0
122854,2042.0
122852,2042.0
122852,2042.0
122852,2042.0
122849,2042.0
122847,2042.0
122847,2043.0
122846,2042.0
122846,2041.0
122845,2042.0
122844,2042.0
122844,2042.0
122844,2042.0
122844,2042.0
122844,2042.0
122844,2042.0
122843,2041.0
122842,2041.0
122842,2041.0
122841,2041.0
122840,2041.0
122840,2041.0
122839,2042.0
122838,2042.0
122838,2041.0
122835,2041.0
122835,2042.0
122830,2042.0
122830,2042.0
122828,2042.0
122828,2041.0
122828,2041.0
122827,2043.0
122827,2042.0
122827,2042.0
122825,2042.0
122825,2042.0
122822,2042.0
122820,2042.0
122819,2042.0
122818,2042.0
122818,2042.0
122818,2041.0
122816,2042.0
122811,2041.0
122811,2041.0
122810,2042.0
122810,2041.0
122810,2041.0
122807,2042.0
122807,2042.0
122806,2043.0
122806,2042.0
122806,2042.0
122803,2043.0
122803,2043.0
122803,2043.0
122803,2043.0
122803,2044.0
122803,2044.0
122803,2044.0
122803,2044.0
122803,2044.0
122802,2043.0
122758,2042.0
122758,2042.0
122758,2043.0
122758,2041.0
122756,2044.0
122756,2042.0
122756,2042.0
122755,2044.0
122754,2043.0
122754,2042.0
122754,2042.0
122754,2041.0
122754,2041.0
122754,2041.0
122754,2041.0
122754,2041.0
122750,2043.0
122750,2043.0
122750,2043.0
122750,2043.0
122749,2043.0
122749,2043.0
122749,2043.0
122749,2043.0
122748,2042.0
122747,2042.0
122746,2042.0
122746,2042.0
122746,2042.0
122745,2042.0
122745,2042.0
122743,2042.0
122743,2042.0
122742,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122734,2042.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2043.0
122733,2042.0
122733,2042.0
122733,2042.0
122733,2042.0
122733,2042.0
122733,2042.0
122733,2042.0
122733,2042.0
122732,2044.0
122730,2043.0
122729,2043.0
122728,2043.0
122728,2043.0
122728,2043.0
122728,2043.0
122728,2043.0
122728,2043.0
122728,2043.0
122720,2044.0
122718,2043.0
122718,2043.0
122717,2044.0
122714,2044.0
122714,2043.0
122713,2043.0
122712,2044.0
122710,2043.0
122708,2043.0
122707,2043.0
122706,2043.0
122705,2044.0
122703,2044.0
122655,2044.0
122655,2044.0
122655,2043.0
122654,2044.0
122654,2044.0
122653,2044.0
122650,2045.0
122649,2045.0
122646,2044.0
122646,2044.0
122646,2044.0
122646,2044.0
122646,2044.0
122646,2044.0
122646,2045.0
122646,2045.0
122646,2045.0
122646,2045.0
122642,2044.0
122641,2044.0
122641,2044.0
122639,2043.0
122637,2044.0
122633,2044.0
122631,2044.0
122630,2044.0
122629,2044.0
122627,2044.0
122627,2044.0
122624,2044.0
122623,2045.0
122621,2045.0
122619,2044.0
122619,2044.0
122619,2044.0
122619,2044.0
122617,2044.0
122617,2044.0
122617,2044.0
122615,2045.0
122610,2045.0
122610,2045.0
122606,2044.0
122606,2045.0
