hEven,pTran,qTitTran
122959,2151.0,55
122959,2152.0,9945
122959,2152.0,186265
122959,2153.0,13735
122959,2150.0,16265
122958,2150.0,30000
122958,2151.0,10000
122958,2151.0,38309
122957,2151.0,10000
122956,2155.0,55719
122956,2155.0,2500
122956,2155.0,82875
122956,2155.0,50000
122956,2155.0,50000
122956,2155.0,2354
122956,2156.0,9540
122956,2156.0,100000
122956,2157.0,47012
122956,2151.0,5558
122955,2150.0,12300
122955,2149.0,10000
122955,2149.0,10000
122955,2149.0,10000
122955,2149.0,20000
122955,2148.0,4300
122955,2148.0,15000
122955,2148.0,18855
122955,2152.0,160700
122955,2153.0,14538
122955,2154.0,2500
122955,2155.0,30000
122955,2155.0,50000
122955,2155.0,50000
122955,2155.0,40000
122955,2155.0,44281
122955,2151.0,100770
122955,2151.0,93196
122955,2150.0,92679
122955,2150.0,10000
122955,2150.0,2900
122954,2151.0,30000
122953,2152.0,39300
122953,2151.0,2500
122952,2152.0,30000
122950,2152.0,2500
122949,2152.0,4000
122948,2152.0,5000
122947,2155.0,20000
122947,2152.0,11700
122946,2152.0,5000
122946,2152.0,2500
122945,2151.0,4693
122944,2150.0,90181
122944,2150.0,42000
122944,2150.0,40000
122944,2151.0,50000
122944,2151.0,26766
122944,2151.0,13090
122942,2150.0,18535
122941,2150.0,2500
122940,2151.0,83784
122940,2150.0,5000
122938,2151.0,9412
122937,2155.0,137972
122937,2155.0,50000
122937,2155.0,50000
122937,2155.0,50000
122937,2156.0,10000
122937,2156.0,5000
122937,2156.0,5090
122937,2157.0,2610
122937,2157.0,62434
122936,2150.0,152566
122936,2150.0,100000
122936,2152.0,45076
122936,2152.0,10000
122936,2155.0,92358
122934,2151.0,2547
122934,2150.0,1407
122934,2150.0,3480
122934,2150.0,40000
122932,2151.0,46314
122932,2150.0,247774
122932,2150.0,105912
122931,2150.0,12460
122930,2152.0,100000
122930,2150.0,51350
122929,2151.0,49953
122929,2151.0,25000
122929,2151.0,3000
122929,2151.0,10000
122929,2150.0,223631
122929,2150.0,88416
122929,2151.0,61550
122929,2151.0,14500
122929,2152.0,8126
122929,2152.0,55824
122928,2155.0,19670
122927,2152.0,16907
122927,2154.0,137672
122927,2154.0,50000
122927,2154.0,5600
122927,2155.0,5000
122927,2155.0,10000
122926,2151.0,47
122926,2152.0,10000
122925,2151.0,4623
122924,2150.0,20000
122923,2151.0,7000
122921,2151.0,2500
122920,2151.0,5000
122920,2150.0,5000
122920,2150.0,20000
122918,2151.0,51179
122918,2151.0,6907
122918,2152.0,23093
122917,2151.0,107356
122917,2151.0,5558
122917,2151.0,20000
122917,2151.0,9000
122915,2152.0,50000
122912,2151.0,95000
122911,2151.0,5000
122911,2150.0,700
122908,2151.0,150000
122908,2151.0,2356
122908,2151.0,50000
122908,2152.0,197644
122908,2152.0,41886
122908,2152.0,95786
122908,2154.0,262328
122908,2150.0,2500
122902,2150.0,11000
122901,2150.0,199831
122901,2150.0,82169
122901,2150.0,35000
122900,2149.0,2500
122900,2150.0,150669
122900,2150.0,47000
122858,2150.0,49007
122858,2150.0,167134
122858,2150.0,185761
122857,2150.0,2500
122857,2150.0,1998
122857,2150.0,50993
122856,2150.0,18894
122856,2150.0,2700
122856,2150.0,50000
122856,2150.0,150000
122856,2150.0,3440
122856,2150.0,50000
122856,2150.0,3000
122856,2150.0,2310
122856,2150.0,50000
122856,2150.0,50000
122856,2150.0,10158
122856,2150.0,5000
122855,2150.0,4000
122855,2150.0,4000
122855,2150.0,90161
122855,2150.0,62376
122855,2150.0,27000
122855,2150.0,5000
122855,2150.0,5000
122855,2150.0,624
122855,2150.0,19756
122855,2150.0,10000
122855,2150.0,6000
122855,2150.0,47217
122855,2150.0,5000
122855,2150.0,3000
122855,2150.0,31000
122855,2150.0,97366
122855,2150.0,10000
122855,2150.0,2500
122855,2150.0,20000
122855,2150.0,50000
122853,2145.0,33183
122853,2149.0,50000
122853,2150.0,16817
122852,2147.0,24385
122852,2147.0,42552
122852,2148.0,6887
122852,2149.0,11872
122852,2149.0,100000
122852,2150.0,214304
122843,2148.0,2397
122843,2145.0,16700
122843,2145.0,3000
122843,2143.0,46490
122843,2142.0,56106
122843,2142.0,3000
122843,2142.0,50000
122843,2142.0,3256
122843,2142.0,2369
122843,2142.0,76965
122843,2142.0,10000
122843,2142.0,3000
122843,2142.0,9000
122843,2141.0,20114
122842,2149.0,15650
122842,2149.0,50000
122842,2150.0,227847
122842,2150.0,106503
122839,2150.0,49599
122839,2150.0,172153
122839,2150.0,227847
122839,2150.0,172153
122839,2150.0,227847
122839,2150.0,172153
122838,2148.0,77512
122838,2148.0,60000
122838,2148.0,10000
122838,2149.0,200000
122838,2149.0,20000
122838,2149.0,32488
122838,2149.0,234434
122838,2149.0,149344
122838,2149.0,5000
122838,2149.0,11222
122838,2149.0,348778
122838,2149.0,48106
122838,2149.0,3116
122838,2149.0,49599
122838,2150.0,350401
122837,2148.0,254791
122837,2148.0,5000
122837,2148.0,36717
122837,2148.0,103492
122837,2143.0,36965
122837,2143.0,10000
122837,2143.0,20000
122837,2143.0,5000
122837,2143.0,2370
122837,2143.0,325665
122837,2147.0,74335
122837,2145.0,4000
122837,2147.0,325665
122837,2148.0,70335
122836,2145.0,23212
122836,2145.0,2273
122836,2145.0,10000
122836,2147.0,140000
122836,2148.0,69468
122836,2148.0,23000
122836,2148.0,10000
122836,2148.0,50
122836,2148.0,145209
122835,2145.0,12015
122834,2145.0,2500
122832,2147.0,42924
122832,2144.0,195694
122832,2144.0,40000
122832,2143.0,21382
122830,2146.0,15394
122830,2144.0,4306
122828,2146.0,3249
122828,2146.0,14606
122822,2144.0,6019
122822,2144.0,100000
122822,2144.0,50000
122822,2143.0,3000
122822,2143.0,2500
122822,2143.0,2338
122822,2143.0,46490
122822,2143.0,6000
122822,2143.0,183653
122822,2148.0,65000
122820,2147.0,27347
122820,2147.0,3810
122820,2147.0,25000
122820,2147.0,111567
122820,2148.0,88919
122820,2148.0,3000
122820,2148.0,140357
122820,2144.0,5180
122820,2144.0,3981
122818,2145.0,35895
122818,2145.0,2200
122818,2145.0,5000
122818,2147.0,27681
122817,2145.0,2500
122816,2145.0,20000
122815,2145.0,3581
122815,2145.0,21264
122815,2145.0,30000
122815,2145.0,4644
122815,2145.0,22116
